,Common_growth_component_median,Recession_prob_filtered_median,Common_growth_component_mean,Recession_prob_filtered_mean
1950-03-31,2.217694149022093,,2.216659539462899,
1950-04-30,3.057981955887883,3.423103843554666e-05,3.056302357066307,0.00019740150186264407
1950-05-31,2.3043848104155042,1.411329841141506e-05,2.298771633598182,8.193497754588176e-05
1950-06-30,2.8220460239603185,2.7028400113106758e-06,2.818879192385506,1.8851398043465338e-05
1950-07-31,3.0873657950412596,1.6722008722908076e-06,3.0895873167739656,1.3035408726865405e-05
1950-08-31,3.6641272130571094,4.450257608587272e-07,3.6600064134126407,4.049622732086533e-06
1950-09-30,-0.5864469814685251,0.02447562056114821,-0.5928466488812341,0.07193340223550855
1950-10-31,0.7292012304760458,0.0008888321259458674,0.7287937418670197,0.005107203847022842
1950-11-30,-0.09994180653671125,0.002692962713673011,-0.09954297481125084,0.010727588520431855
1950-12-31,0.8989669073644136,0.00022467157220443934,0.897062516925497,0.001188556093755089
1951-01-31,-0.12520600655327524,0.0026228818300741714,-0.131093164395686,0.010424561945482183
1951-02-28,0.7300462578216431,0.0003213580591005709,0.7270871021307669,0.0015475967477261423
1951-03-31,0.5129603903894377,0.000520616823428663,0.5085329905696311,0.0022428383405067582
1951-04-30,0.1531051553481398,0.001206002281745837,0.1486776858030401,0.005244322462075346
1951-05-31,-0.5582539114025138,0.006510649392038826,-0.5637779298380025,0.026604097489488887
1951-06-30,-0.6840667829539246,0.010358005593764801,-0.6999750749141028,0.04685713560562979
1951-07-31,-1.5511419029703328,0.08404743020150027,-1.5905449809353756,0.1998411751090366
1951-08-31,-1.126387958540904,0.0799740044701486,-1.1525100861935977,0.21235660583657923
1951-09-30,0.29729613062378024,0.0050824938295402355,0.29461303413231305,0.03412019794132636
1951-10-31,-0.079961279414869,0.0036956138773366386,-0.08637678383665763,0.02046804552272408
1951-11-30,0.553207763519703,0.0005786148947654216,0.5569210613240975,0.003874059664811666
1951-12-31,0.39418742120197753,0.0007036158527916121,0.3893138159405154,0.0031423986838972906
