,forecast_expected_returns,forecast_variance,filtered_expected_returns,lower_q,upper_q,CMA
1950-01-31,7.564957605785722,0.005185719438613712,7.443268298141873,7.245574548886061,7.657564561950175,20.400000000000002
1950-02-28,7.447323972147549,0.005034827087393502,7.350695250612057,7.140075145154595,7.579815694274599,19.080000000000002
1950-03-31,7.356561116669884,0.004882884715728976,7.2834805109935425,7.058048428861582,7.529320790312812,17.76
1950-04-30,7.292012292021447,0.0048554023087624505,6.910117950431213,6.579744444854111,7.290169410068279,25.14
1950-05-31,6.930215207933017,0.004655755518475735,6.486208315054447,6.023169044154384,7.054739617940109,30.456000000000003
1950-06-30,6.518184305613962,0.004486613245998305,7.283627487811341,7.051770295464735,7.535057013616522,13.500000000000002
1950-07-31,7.292313478022779,0.004352305712364809,7.202847739538389,6.949906665871911,7.47819383821397,13.902857142857144
1950-08-31,7.213306565452865,0.0042235379413751205,6.709241076948594,6.300236353280911,7.178064971979113,19.439999999999998
1950-09-30,7.060839454785562,0.04291900865730967,6.734814886184176,6.16849579414095,7.374975310956556,23.69333333333333
1950-10-31,6.290118361273772,0.006725385945365851,6.371942998845556,5.8332974003162095,7.014788896623149,21.108
1950-11-30,6.443028346122722,0.009615920010121485,6.178859692109325,5.546835687358136,6.932130673951691,22.2
1950-12-31,6.153930492054559,0.004403691399612579,5.541862894112389,4.669099171378001,6.584894648816175,25.89
1951-01-31,5.690804149554422,0.009189550548206107,5.076028761283053,3.9713794012588686,6.390973844712461,29.160000000000004
1951-02-28,5.043114927217745,0.004396403035303007,4.914748388484839,3.7783795003396534,6.271974841692586,28.28571428571429
1951-03-31,5.004577180796144,0.004669759324579259,5.3218279374412525,4.320822352202998,6.493654091383238,24.68
1951-04-30,5.415162456224562,0.006145594011310946,4.876522407415375,3.6767520459486303,6.273128323469079,26.7825
1951-05-31,5.197706125542532,0.017123363087194855,5.486977184459231,4.455246620026884,6.6668324397620635,23.55529411764706
1951-06-30,5.72958231536672,0.027574525429430792,6.01150040239366,5.1648384887486465,6.95500687902329,20.5
1951-07-31,7.052440242522604,0.10719304326448832,6.95929076716478,5.948042035024103,8.063921331803538,23.804210526315792
1951-08-31,7.105869996638278,0.1134498203716073,7.023228545744628,5.861554662894685,8.266380660176026,25.176000000000002
1951-09-30,4.999496741342633,0.020623647603360155,4.947484774765293,3.6033480139939513,6.4597830667536,24.377142857142854
1951-10-31,4.871619438667471,0.0134970715225736,5.204355984699215,4.020820726095666,6.527487779213728,21.889090909090907
1951-11-30,5.137340830231777,0.00486430331117974,5.116288209413446,3.922670423003174,6.439519013183759,21.234782608695657
1951-12-31,5.185339014954284,0.00441842531848762,4.805022671326643,3.468811510249808,6.283950475993552,22.015000000000004
1952-01-31,4.878077894435128,0.003698170996169978,4.741591991774321,3.3641721981938675,6.2530632013722816,21.8304
1952-02-29,4.826399748107256,0.0035977415911708655,5.220826425175199,4.032431642423042,6.506220206387778,19.78153846153846
1952-03-31,5.393272509036119,0.011494854152410843,4.899523186128634,3.518043212696304,6.389996440728818,21.022222222222226
1952-04-30,6.213777110209844,0.08573308505976829,6.3378062693254575,5.429267647080489,7.287236986667203,18.141428571428573
1952-05-31,6.812302088608374,0.13237918943997895,6.820642791796427,5.880893615318126,7.771804146053088,18.840000000000003
1952-06-30,8.428880319087556,0.2674767851624277,8.903149058412588,8.13093663598358,9.632375420520994,19.744
1952-07-31,10.211399625957366,0.3587383299915238,10.144939880864317,9.595397004746387,10.63323477722347,19.45935483870968
1952-08-31,4.952721781462653,0.0023332654963716852,5.108790451634274,3.7865577765665495,6.480125533078223,18.56625
1952-09-30,5.182290043045146,0.002297850182236204,5.514677356858811,4.34989563910617,6.681269611356513,17.265454545454546
1952-10-31,5.5785945562342985,0.002625557027761962,5.722204180874909,4.643327001259049,6.792061920871868,16.52470588235294
1952-11-30,5.775238943622466,0.002284675579745874,5.042312756655456,3.6497161985893407,6.464311335253223,18.089142857142857
1952-12-31,5.280387514259364,0.015041871346419954,4.973394429837024,3.4761661626578344,6.484296616924319,18.563333333333336
1953-01-31,4.97031541078943,0.009495798515951078,5.057417628494731,3.61383521931456,6.508514394917967,17.951351351351352
1953-02-28,5.067637561741585,0.004040474484343267,5.158142790279667,3.755802271134539,6.5338684731485355,17.393684210526317
1953-03-31,5.220742311038118,0.0031485840480648254,5.4741153174363335,4.199908600497351,6.688730619501435,16.507692307692306
1953-04-30,5.551044602341429,0.0050199183600215785,5.972881010171598,4.928586945751379,6.947690911108086,15.245999999999999
1953-05-31,6.015285485968278,0.0038566644100564112,6.011749489910079,4.975728694916778,6.969453654641704,15.026341463414633
1953-06-30,6.092455168584767,0.01398053704818821,6.389482632067447,5.5224507748334,7.143046459381592,14.128571428571428
1953-07-31,6.420940928902158,0.004275825810262771,6.1688286418990685,5.180993563602701,7.04959718054711,14.469767441860467
1953-08-31,6.423579980865829,0.08384992362372996,6.617218975995542,6.070984599706649,7.0836433613834835,12.90818181818182
1953-09-30,5.619093628311266,0.40921214796889516,5.545088901124807,5.241027247194561,5.829957880144486,12.674666666666667
1953-10-31,5.573222659064848,0.419149667257605,7.011846379912737,6.811787409304504,7.2389725287141795,13.599130434782609
1953-11-30,7.171361425084006,0.5133167385781042,8.187192592693107,8.076962489489441,8.304268491387809,14.032340425531913
1953-12-31,8.165414102045935,0.5124533150757126,7.867112837217996,7.748745096032388,7.991323853914681,13.747500000000002
1954-01-31,7.78375223120246,0.48932066829354415,9.711793645453959,9.527297644299093,9.874415211111552,14.723265306122451
