location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1952-07-31,0.00479307769806815
usa,accruals,monthly,vw_cap,6,1952-08-31,-0.00160509045451011
usa,accruals,monthly,vw_cap,6,1952-09-30,0.000726272626810284
usa,accruals,monthly,vw_cap,6,1952-10-31,-0.00338468734060533
usa,accruals,monthly,vw_cap,6,1952-11-30,-0.000164326024693585
usa,accruals,monthly,vw_cap,6,1952-12-31,-0.0114762178048306
usa,accruals,monthly,vw_cap,6,1953-01-31,0.00585331394860538
usa,accruals,monthly,vw_cap,6,1953-02-28,-0.0031994116349336
usa,accruals,monthly,vw_cap,6,1953-03-31,-0.00638595290905855
usa,accruals,monthly,vw_cap,6,1953-04-30,0.000273077378912674
usa,accruals,monthly,vw_cap,6,1953-05-31,0.00806696352768106
usa,accruals,monthly,vw_cap,6,1953-06-30,0.00530709185301227
usa,accruals,monthly,vw_cap,6,1953-07-31,0.00233543178166785
usa,accruals,monthly,vw_cap,6,1953-08-31,0.00927468203227694
usa,accruals,monthly,vw_cap,6,1953-09-30,0.00497224321278223
usa,accruals,monthly,vw_cap,6,1953-10-31,-0.00580584270442907
usa,accruals,monthly,vw_cap,6,1953-11-30,-0.00280834922524
usa,accruals,monthly,vw_cap,6,1953-12-31,0.00455290800378367
usa,accruals,monthly,vw_cap,6,1954-01-31,-0.0142872580260257
usa,accruals,monthly,vw_cap,6,1954-02-28,0.0044815103324965
usa,accruals,monthly,vw_cap,6,1954-03-31,0.00143744239446563
usa,accruals,monthly,vw_cap,6,1954-04-30,-0.00772056209922378
usa,accruals,monthly,vw_cap,6,1954-05-31,-0.00184167258616116
usa,accruals,monthly,vw_cap,6,1954-06-30,0.0112921758676299
usa,accruals,monthly,vw_cap,6,1954-07-31,0.0169097368987671
usa,accruals,monthly,vw_cap,6,1954-08-31,0.00853080171098454
usa,accruals,monthly,vw_cap,6,1954-09-30,-0.00200932374136735
usa,accruals,monthly,vw_cap,6,1954-10-31,0.00571892627343951
usa,accruals,monthly,vw_cap,6,1954-11-30,0.00683121044056006
